PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,month,day_of_week,day_of_year,AQI_lag_1,AQI_lag_7,PM25_lag_1,City_Chennai,City_Delhi,City_Kolkata,City_Mumbai,season_Post-Monsoon,season_Summer,season_Winter
219.2,22.7,7.2,121.4,75.0,31.6,6.53,95.3,58.6,5.56,28.63,6.24,390.6,1,6,25,105.6,104.3,172.9,False,False,False,False,False,False,True
274.2,119.4,78.8,34.3,35.9,19.5,0.31,79.3,20.4,8.92,0.34,5.25,319.9,1,0,26,390.6,273.1,219.2,False,False,False,False,False,False,True
469.0,203.6,6.7,120.8,224.1,27.3,4.59,65.7,110.2,12.07,24.7,8.48,78.7,1,1,27,319.9,38.1,274.2,False,False,False,False,False,False,True
447.1,152.5,38.3,131.8,91.2,12.1,8.66,30.7,172.3,13.23,21.91,1.82,92.9,1,2,28,78.7,384.3,469.0,False,False,False,False,False,False,True
258.8,95.3,145.4,77.9,13.3,13.3,6.48,16.4,150.5,8.11,12.56,2.22,232.0,1,3,29,92.9,22.1,447.1,False,False,False,False,False,False,True
17.6,418.7,166.1,62.8,46.6,44.5,8.19,85.4,94.4,6.85,24.57,6.15,493.9,1,4,30,232.0,286.9,258.8,False,False,False,False,False,False,True
327.5,71.1,73.7,105.1,203.7,3.0,6.85,4.4,28.9,2.39,23.86,6.05,432.3,1,5,31,493.9,105.6,17.6,False,False,False,False,False,False,True
245.6,397.9,73.9,91.1,212.8,46.1,1.84,59.0,6.3,16.79,20.7,3.27,211.4,2,6,32,432.3,390.6,327.5,False,False,False,False,False,False,True
265.2,8.8,63.5,97.5,21.2,15.6,1.71,41.5,85.7,3.61,12.65,7.08,480.9,2,0,33,211.4,319.9,245.6,False,False,False,False,False,False,True
413.9,371.0,153.5,37.8,117.5,6.5,8.55,56.1,132.0,7.34,26.49,5.17,235.7,2,1,34,480.9,78.7,265.2,False,False,False,False,False,False,True
76.2,253.1,58.5,88.6,8.2,4.4,4.31,46.3,79.7,16.35,2.37,5.09,377.2,2,2,35,235.7,92.9,413.9,False,False,False,False,False,False,True
73.8,57.2,114.9,37.9,185.6,6.5,1.48,47.3,86.3,18.18,19.78,2.09,6.0,2,3,36,377.2,232.0,76.2,False,False,False,False,False,False,True
56.8,201.4,48.7,121.0,97.0,26.2,9.2,20.6,48.5,14.26,2.17,4.44,93.3,2,4,37,6.0,493.9,73.8,False,False,False,False,False,False,True
375.1,280.7,6.4,115.6,116.0,37.8,2.47,4.0,71.1,15.79,5.76,4.28,173.3,2,5,38,93.3,432.3,56.8,False,False,False,False,False,False,True
287.3,346.6,85.5,114.7,100.5,41.5,4.48,52.6,140.8,4.6,13.99,2.34,205.0,2,6,39,173.3,211.4,375.1,False,False,False,False,False,False,True
270.0,331.6,6.9,4.6,157.0,22.1,9.34,63.3,174.6,18.11,19.2,4.93,64.4,2,0,40,205.0,480.9,287.3,False,False,False,False,False,False,True
419.1,43.5,80.1,35.5,239.7,28.1,4.99,22.3,40.9,2.1,18.98,3.48,440.1,2,1,41,64.4,235.7,270.0,False,False,False,False,False,False,True
127.8,526.8,179.1,134.0,0.3,33.8,1.79,91.1,14.8,5.96,25.3,1.86,367.5,2,2,42,440.1,377.2,419.1,False,False,False,False,False,False,True
318.1,363.3,79.6,121.0,33.3,31.0,7.97,66.8,172.9,2.98,14.14,5.64,355.9,2,3,43,367.5,6.0,127.8,False,False,False,False,False,False,True
98.7,170.3,76.9,102.2,218.9,36.4,1.24,98.6,72.7,19.58,29.62,7.93,330.6,2,4,44,355.9,93.3,318.1,False,False,False,False,False,False,True
308.9,324.1,62.1,77.5,111.0,32.9,5.28,91.4,124.7,14.66,21.18,4.01,75.0,2,5,45,330.6,173.3,98.7,False,False,False,False,False,False,True
148.2,233.0,167.4,70.1,145.2,44.7,2.2,77.6,46.2,9.52,14.57,9.62,52.2,2,6,46,75.0,205.0,308.9,False,False,False,False,False,False,True
63.0,58.1,73.3,61.6,249.14799999999997,8.5,8.63,6.0,86.4,5.22,23.03,4.67,274.3,2,0,47,52.2,64.4,148.2,False,False,False,False,False,False,True
475.1,186.4,157.4,15.7,233.3,37.6,5.58,99.3,137.5,5.16,7.4,1.52,125.1,2,1,48,274.3,440.1,63.0,False,False,False,False,False,False,True
355.2,376.8,59.8,91.9,224.3,11.6,2.71,52.0,31.8,10.76,13.13,7.34,340.5,2,2,49,125.1,367.5,475.1,False,False,False,False,False,False,True
460.0,531.0,30.1,40.0,53.6,48.3,3.97,46.6,58.9,16.99,19.27,3.27,290.1,2,3,50,340.5,355.9,355.2,False,False,False,False,False,False,True
345.0,217.8,151.5,115.1,219.8,7.6,1.17,32.2,174.7,10.56,16.06,2.97,110.2,2,4,51,290.1,330.6,460.0,False,False,False,False,False,False,True
438.0,510.7,160.2,43.7,65.1,46.5,3.85,23.8,30.4,4.62,8.7,4.95,253.4,2,5,52,110.2,75.0,345.0,False,False,False,False,False,False,True
353.4,176.1,177.6,109.3,129.5,0.8,4.88,5.8,51.5,0.38,19.94,3.0,362.5,2,6,53,253.4,52.2,438.0,False,False,False,False,False,False,True
159.9,326.1,132.7,33.0,104.3,13.1,8.86,27.4,139.6,18.34,9.65,5.12,13.2,2,0,54,362.5,274.3,353.4,False,False,False,False,False,False,True
39.4,414.2,64.5,35.7,70.1,49.2,6.17,31.8,96.6,15.83,16.06,3.38,95.9,2,1,55,13.2,125.1,159.9,False,False,False,False,False,False,True
448.5,581.4,8.0,60.2,57.3,0.3,0.18,13.7,44.3,13.71,27.37,2.6,227.2,2,2,56,95.9,340.5,39.4,False,False,False,False,False,False,True
356.0,523.7,189.9,125.4,71.1,9.9,1.17,63.9,75.1,14.74,13.28,1.14,492.4,2,3,57,227.2,290.1,448.5,False,False,False,False,False,False,True
463.2,535.2,82.4,121.0,10.5,3.8,0.31,33.7,149.2,9.34,27.58,9.02,160.5,2,4,58,492.4,110.2,356.0,False,False,False,False,False,False,True
234.1,286.6,145.6,66.1,74.8,28.1,8.78,93.3,45.0,15.9,8.5,5.65,408.3,2,5,59,160.5,253.4,463.2,False,False,False,False,False,False,True
320.5,471.2,31.8,100.4,231.9,45.1,0.47,64.8,154.7,3.74,4.51,8.82,464.8,3,6,60,408.3,362.5,234.1,False,False,False,False,False,True,False
197.2,61.7,155.7,13.7,67.4,44.1,9.96,25.7,172.7,14.04,10.09,0.09,123.4,3,0,61,464.8,13.2,320.5,False,False,False,False,False,True,False
147.2,33.3,148.5,59.6,154.7,36.2,0.39,57.5,126.9,1.89,24.33,1.2,225.8,3,1,62,123.4,95.9,197.2,False,False,False,False,False,True,False
196.7,278.3,71.3,44.4,68.7,4.9,6.02,25.0,108.7,7.43,26.71,5.58,12.5,3,2,63,225.8,227.2,147.2,False,False,False,False,False,True,False
217.6,545.8,93.6,144.5,111.2,17.0,6.82,5.4,120.2,19.13,24.61,0.4,275.8,3,3,64,12.5,492.4,196.7,False,False,False,False,False,True,False
33.5,391.5,100.2,8.0,194.2,5.2,9.8,51.1,132.4,14.0,23.06,4.82,425.8,3,4,65,275.8,160.5,217.6,False,False,False,False,False,True,False
72.3,384.2,17.4,100.8,4.1,13.9,6.22,47.3,198.674,14.33,19.58,0.43,204.0,3,5,66,425.8,408.3,33.5,False,False,False,False,False,True,False
314.7,280.0,77.5,93.2,179.7,7.8,5.68,14.4,177.3,15.69,16.64,0.44,10.2,3,6,67,204.0,464.8,72.3,False,False,False,False,False,True,False
362.7,110.1,154.6,83.8,90.4,6.0,8.65,55.8,197.9,10.45,20.14,0.79,498.0,3,0,68,10.2,123.4,314.7,False,False,False,False,False,True,False
361.6,470.5,74.0,141.8,34.7,45.8,6.89,92.3,95.9,16.07,6.96,6.86,472.6,3,1,69,498.0,225.8,362.7,False,False,False,False,False,True,False
5.3,306.2,58.3,78.5,69.6,13.3,2.85,65.6,157.4,5.95,15.81,4.37,246.5,3,2,70,472.6,12.5,361.6,False,False,False,False,False,True,False
156.2,558.5,22.8,8.3,193.7,3.0,8.97,90.2,136.9,7.93,21.42,7.63,183.3,3,3,71,246.5,275.8,5.3,False,False,False,False,False,True,False
496.9,129.7,73.2,58.1,173.3,16.2,2.46,33.6,16.9,9.13,16.76,6.81,316.6,3,4,72,183.3,425.8,156.2,False,False,False,False,False,True,False
60.6,186.0,53.0,59.1,200.6,22.1,1.03,48.5,102.2,7.74,2.64,4.02,391.4,3,5,73,316.6,204.0,496.9,False,False,False,False,False,True,False
50.0,60.8,75.6,3.3,164.8,9.6,1.86,45.1,44.0,9.95,14.27,5.8,486.2,3,6,74,391.4,10.2,60.6,False,False,False,False,False,True,False
493.3,567.3,64.2,8.9,173.3,5.6,2.08,57.4,85.2,17.23,0.19,0.07,157.5,3,0,75,486.2,498.0,50.0,False,False,False,False,False,True,False
220.7,322.2,55.5,58.4,125.8,27.3,6.57,58.6,123.4,8.9,8.07,3.63,289.5,3,1,76,157.5,472.6,493.3,False,False,False,False,False,True,False
112.7,466.3,135.8,100.2,221.1,40.3,5.25,99.6,33.1,13.79,0.7,2.1,31.3,3,2,77,289.5,246.5,220.7,False,False,False,False,False,True,False
246.6,489.0,31.9,139.9,232.5,16.2,7.54,13.5,133.1,7.12,15.77,4.76,360.9,3,3,78,31.3,183.3,112.7,False,False,False,False,False,True,False
17.5,395.7,59.1,143.2,60.5,34.7,9.41,1.0,69.0,15.79,0.98,8.5,84.1,3,4,79,360.9,316.6,246.6,False,False,False,False,False,True,False
174.8,205.0,119.5,103.5,35.1,39.9,4.56,54.4,193.1,18.06,2.06,1.02,440.6,3,5,80,84.1,391.4,17.5,False,False,False,False,False,True,False
24.7,417.5,185.4,149.5,32.5,11.1,1.61,82.5,120.8,19.67,4.56,1.4,81.5,3,6,81,440.6,486.2,174.8,False,False,False,False,False,True,False
331.9,16.8,164.3,118.1,48.5,48.0,2.06,30.2,20.4,19.65,20.37,3.37,299.1,3,0,82,81.5,157.5,24.7,False,False,False,False,False,True,False
428.4,588.4,18.7,57.9,105.6,22.6,7.08,71.4,189.6,17.88,12.1,5.62,80.3,3,1,83,299.1,289.5,331.9,False,False,False,False,False,True,False
46.1,358.7,77.0,148.6,200.5,41.2,2.82,13.6,64.3,9.91,21.47,1.54,380.6,3,2,84,80.3,31.3,428.4,False,False,False,False,False,True,False
106.4,595.3,179.7,26.1,146.3,21.2,9.66,34.4,79.5,5.75,15.53,6.92,160.2,3,3,85,380.6,360.9,46.1,False,False,False,False,False,True,False
200.3,304.6,155.9,132.0,213.8,25.6,1.29,16.2,36.0,19.76,10.69,4.24,41.5,3,4,86,160.2,84.1,106.4,False,False,False,False,False,True,False
371.3,579.8,198.974,116.1,47.5,46.0,6.35,51.5,54.9,1.59,6.93,2.67,7.1,3,5,87,41.5,440.6,200.3,False,False,False,False,False,True,False
100.6,241.9,108.1,10.0,127.3,15.5,6.28,45.1,24.8,16.09,16.92,7.66,202.1,3,6,88,7.1,81.5,371.3,False,False,False,False,False,True,False
328.8,213.9,113.0,73.1,137.1,35.3,0.62,16.8,43.2,0.3,27.87,3.01,201.8,3,0,89,202.1,299.1,100.6,False,False,False,False,False,True,False
496.974,421.4,19.9,114.7,13.3,44.1,6.65,23.6,117.3,19.64,26.18,4.43,490.5,3,1,90,201.8,80.3,328.8,False,False,False,False,False,True,False
89.9,41.4,174.2,27.1,86.5,4.0,3.06,45.8,8.9,7.49,23.78,4.8,67.7,4,2,91,490.5,380.6,496.974,False,False,False,False,False,True,False
303.2,328.1,160.1,92.0,124.5,43.4,8.15,30.3,80.1,0.99,14.69,2.44,16.6,4,3,92,67.7,160.2,89.9,False,False,False,False,False,True,False
289.0,390.8,20.1,97.0,191.5,17.0,2.89,7.8,60.7,15.56,18.03,7.13,215.4,4,4,93,16.6,41.5,303.2,False,False,False,False,False,True,False
62.6,454.7,155.9,133.9,226.2,9.5,9.23,29.9,118.6,3.38,24.52,9.89,435.6,4,5,94,215.4,7.1,289.0,False,False,False,False,False,True,False
244.9,38.6,186.7,87.3,121.1,21.4,4.45,5.8,45.3,12.86,22.59,7.68,181.8,4,6,95,435.6,202.1,62.6,False,False,False,False,False,True,False
454.3,212.3,182.1,59.6,217.1,23.7,6.86,71.0,67.6,16.67,28.19,4.71,392.7,4,0,96,181.8,201.8,244.9,False,False,False,False,False,True,False
134.9,388.6,188.6,143.7,178.0,25.8,0.65,3.1,70.9,10.05,13.42,1.01,455.1,4,1,97,392.7,490.5,454.3,False,False,False,False,False,True,False
148.1,365.9,136.7,57.3,14.2,22.3,9.5,91.2,197.0,9.88,20.24,5.3,96.6,4,2,98,455.1,67.7,134.9,False,False,False,False,False,True,False
412.4,227.8,21.6,34.7,138.8,33.7,8.77,3.1,97.7,0.35,9.2,2.18,453.9,4,3,99,96.6,16.6,148.1,False,False,False,False,False,True,False
421.2,90.5,66.7,105.0,193.4,24.5,3.64,78.8,56.8,7.88,0.78,8.8,128.7,4,4,100,453.9,215.4,412.4,False,False,False,False,False,True,False
446.6,551.3,43.6,18.8,149.4,5.6,3.25,90.8,37.3,0.52,25.59,0.41,408.0,4,5,101,128.7,435.6,421.2,False,False,False,False,False,True,False
86.7,460.4,97.6,83.4,242.5,47.8,7.65,21.2,144.1,7.69,3.67,2.6,112.3,4,6,102,408.0,181.8,446.6,False,False,False,False,False,True,False
331.5,434.7,98.0,147.0,49.2,37.1,6.58,14.2,46.0,11.53,15.65,8.47,74.3,4,0,103,112.3,392.7,86.7,False,False,False,False,False,True,False
121.0,349.1,97.3,108.5,77.9,41.6,0.5,56.6,70.6,16.46,11.57,8.17,397.1,4,1,104,74.3,455.1,331.5,False,False,False,False,False,True,False
79.2,575.0,178.9,53.8,246.4,17.3,7.97,83.9,93.7,3.25,20.04,3.05,387.8,4,2,105,397.1,96.6,121.0,False,False,False,False,False,True,False
365.7,54.0,19.9,122.2,136.6,49.4,1.24,29.9,75.4,18.13,20.53,0.67,478.1,4,3,106,387.8,453.9,79.2,False,False,False,False,False,True,False
225.7,575.8,48.4,77.6,202.8,5.9,2.54,87.5,64.4,3.15,15.42,6.32,146.0,4,4,107,478.1,128.7,365.7,False,False,False,False,False,True,False
72.7,39.3,122.2,9.8,18.7,28.0,4.2,7.3,168.2,7.44,26.78,1.78,360.4,4,5,108,146.0,408.0,225.7,False,False,False,False,False,True,False
431.0,350.1,137.9,15.2,155.1,8.9,3.51,12.7,81.2,8.28,27.5,7.6,69.2,4,6,109,360.4,112.3,72.7,False,False,False,False,False,True,False
140.6,23.5,117.6,20.8,231.9,16.1,3.08,79.7,169.6,10.89,12.11,8.22,44.1,4,0,110,69.2,74.3,431.0,False,False,False,False,False,True,False
2.7,68.2,28.5,66.1,152.5,0.6,8.01,98.5,144.2,0.2,17.15,7.25,321.2,4,1,111,44.1,397.1,140.6,False,False,False,False,False,True,False
246.3,114.3,120.0,10.6,160.4,12.5,9.33,3.9,84.5,11.72,26.67,8.29,138.1,4,2,112,321.2,387.8,2.7,False,False,False,False,False,True,False
491.5,415.3,136.8,11.8,225.2,36.6,7.74,15.4,107.2,1.47,20.42,3.41,212.4,4,3,113,138.1,478.1,246.3,False,False,False,False,False,True,False
466.5,303.7,80.6,129.7,84.6,5.0,8.77,63.9,14.1,5.99,29.13,8.47,448.5,4,4,114,212.4,146.0,491.5,False,False,False,False,False,True,False
104.3,538.7,57.4,70.5,216.6,28.5,4.32,66.3,72.7,12.27,22.99,3.01,67.0,4,5,115,448.5,360.4,466.5,False,False,False,False,False,True,False
285.2,420.5,9.4,7.8,12.5,17.0,0.57,8.6,54.1,1.15,26.46,8.41,273.6,4,6,116,67.0,69.2,104.3,False,False,False,False,False,True,False
18.2,554.7,85.6,48.9,107.3,40.1,8.76,68.2,48.6,11.89,10.1,4.91,185.8,4,0,117,273.6,44.1,285.2,False,False,False,False,False,True,False
270.6,433.1,169.6,103.8,20.5,14.2,5.84,77.9,79.7,2.86,28.91,1.0,40.6,4,1,118,185.8,321.2,18.2,False,False,False,False,False,True,False
328.3,14.8,166.2,121.0,44.2,42.4,4.29,39.4,141.0,7.1,27.56,2.86,395.5,4,2,119,40.6,138.1,270.6,False,False,False,False,False,True,False
326.2,133.9,0.8,103.5,170.8,36.9,9.63,96.1,143.9,6.8,27.3,6.72,397.5,4,3,120,395.5,212.4,328.3,False,False,False,False,False,True,False
55.2,545.8,145.9,144.7,132.1,49.6,4.96,67.8,81.6,13.85,15.74,5.55,338.0,5,4,121,397.5,448.5,326.2,False,False,False,False,False,True,False
144.9,473.6,36.9,85.0,88.3,27.7,3.84,35.9,104.2,4.6,25.1,6.02,261.1,5,5,122,338.0,67.0,55.2,False,False,False,False,False,True,False
267.7,205.7,49.9,97.4,47.2,49.7,1.4,0.1,173.8,1.38,4.02,5.09,363.5,5,6,123,261.1,273.6,144.9,False,False,False,False,False,True,False
496.974,77.3,83.4,114.3,102.6,49.6,0.79,39.4,174.7,12.56,25.61,8.11,236.3,5,0,124,363.5,185.8,267.7,False,False,False,False,False,True,False
449.4,173.3,59.0,22.7,172.9,33.2,3.47,27.3,27.7,14.12,3.49,1.11,59.7,5,1,125,236.3,40.6,496.974,False,False,False,False,False,True,False
436.4,105.4,46.1,85.0,5.5,45.2,8.36,2.3,170.4,10.96,23.11,8.29,416.8,5,2,126,59.7,395.5,449.4,False,False,False,False,False,True,False
171.6,370.3,1.0,100.5,189.7,35.8,8.12,77.1,93.6,5.37,5.73,2.84,245.6,5,3,127,416.8,397.5,436.4,False,False,False,False,False,True,False
285.6,330.8,123.5,122.6,66.6,12.6,0.81,98.7,51.6,14.27,12.61,9.63,386.8,5,4,128,245.6,338.0,171.6,False,False,False,False,False,True,False
25.4,76.7,9.6,27.6,205.2,33.1,1.8,48.5,177.8,15.33,29.62,2.83,119.5,5,5,129,386.8,261.1,285.6,False,False,False,False,False,True,False
285.4,436.6,16.8,100.3,141.7,39.9,3.13,13.2,67.1,7.28,18.7,0.65,409.1,5,6,130,119.5,363.5,25.4,False,False,False,False,False,True,False
264.2,144.3,180.6,147.1,191.3,40.6,2.59,65.5,122.5,5.2,1.35,8.16,157.8,5,0,131,409.1,236.3,285.4,False,False,False,False,False,True,False
474.4,433.0,138.0,56.1,45.7,47.2,9.0,95.2,41.3,15.37,1.82,7.92,80.5,5,1,132,157.8,59.7,264.2,False,False,False,False,False,True,False
260.6,471.1,197.0,136.5,112.7,6.4,5.0,35.7,46.4,6.11,17.02,1.17,163.2,5,2,133,80.5,416.8,474.4,False,False,False,False,False,True,False
354.6,582.1,72.1,120.8,238.4,47.3,2.28,76.2,185.0,2.68,22.27,8.36,421.0,5,3,134,163.2,245.6,260.6,False,False,False,False,False,True,False
14.5,529.5,177.6,40.6,21.9,36.0,0.11,16.9,26.9,17.77,20.45,9.38,370.8,5,4,135,421.0,386.8,354.6,False,False,False,False,False,True,False
470.5,53.0,131.7,58.5,243.8,13.9,8.38,8.8,52.6,19.71,16.38,2.62,184.0,5,5,136,370.8,119.5,14.5,False,False,False,False,False,True,False
107.2,465.9,146.5,146.8,38.4,19.7,1.25,96.6,38.1,1.02,13.49,9.947399999999996,29.0,5,6,137,184.0,409.1,470.5,False,False,False,False,False,True,False
137.5,446.2,42.2,113.9,77.1,28.8,6.57,40.4,177.3,6.61,10.59,4.53,23.6,5,0,138,29.0,157.8,107.2,False,False,False,False,False,True,False
58.5,505.1,89.9,66.6,158.9,25.0,1.11,68.0,59.9,13.76,26.34,1.43,386.5,5,1,139,23.6,80.5,137.5,False,False,False,False,False,True,False
302.6,440.2,189.1,64.9,246.5,31.5,5.94,62.2,123.5,8.26,21.12,6.91,415.1,5,2,140,386.5,163.2,58.5,False,False,False,False,False,True,False
427.6,544.6,111.3,21.4,224.4,12.8,4.82,59.7,128.8,13.42,3.92,4.62,465.9,5,3,141,415.1,421.0,302.6,False,False,False,False,False,True,False
209.4,196.1,30.9,13.1,174.1,26.8,6.47,17.9,72.9,13.69,5.15,3.16,155.6,5,4,142,465.9,370.8,427.6,False,False,False,False,False,True,False
23.4,298.2,134.7,147.6,151.5,44.3,2.51,8.1,150.6,5.44,1.19,3.1,141.2,5,5,143,155.6,184.0,209.4,False,False,False,False,False,True,False
30.4,54.7,24.0,47.1,79.0,0.3,8.16,99.1,90.2,14.74,29.48,8.09,301.2,5,6,144,141.2,29.0,23.4,False,False,False,False,False,True,False
346.8,589.5,75.4,53.4,91.0,40.4,1.82,37.5,144.4,9.22,25.64,0.48,66.1,5,0,145,301.2,23.6,30.4,False,False,False,False,False,True,False
350.2,197.1,191.8,100.9,39.1,12.7,7.79,69.7,21.7,1.59,7.61,5.26,97.8,5,1,146,66.1,386.5,346.8,False,False,False,False,False,True,False
468.9,556.6,26.9,84.1,221.5,44.5,1.14,13.4,116.6,1.65,10.21,1.75,90.1,5,2,147,97.8,415.1,350.2,False,False,False,False,False,True,False
462.3,111.8,83.3,71.1,62.5,33.3,6.51,66.6,59.7,11.3,28.19,9.19,86.8,5,3,148,90.1,465.9,468.9,False,False,False,False,False,True,False
143.9,539.8,93.2,146.0,147.4,42.5,1.68,60.1,164.2,4.83,6.26,9.22,374.5,5,4,149,86.8,155.6,462.3,False,False,False,False,False,True,False
91.3,77.0,18.0,133.9,50.9,41.4,3.58,7.9,120.5,12.97,21.52,6.39,419.1,5,5,150,374.5,141.2,143.9,False,False,False,False,False,True,False
417.1,202.2,76.9,142.9,239.1,37.1,6.42,46.4,118.3,12.27,5.99,9.89,455.2,5,6,151,419.1,301.2,91.3,False,False,False,False,False,True,False
272.8,149.5,193.1,62.6,77.6,29.9,7.27,51.0,63.7,14.03,3.69,4.28,429.8,6,0,152,455.2,66.1,417.1,False,False,False,False,False,False,False
320.5,384.1,57.9,44.9,140.4,40.8,8.71,82.3,59.8,0.16,1.48,4.61,13.3,6,1,153,429.8,97.8,272.8,False,False,False,False,False,False,False
310.3,110.5,184.3,68.1,155.9,46.5,0.13,65.0,145.7,0.06,4.48,7.35,40.6,6,2,154,13.3,90.1,320.5,False,False,False,False,False,False,False
124.1,317.4,22.0,101.6,78.7,34.5,9.87,64.0,118.6,16.84,1.35,4.56,220.4,6,3,155,40.6,86.8,310.3,False,False,False,False,False,False,False
9.8,468.0,0.5,104.1,169.1,12.1,9.29,93.7,24.9,9.58,20.94,3.73,403.5,6,4,156,220.4,374.5,124.1,False,False,False,False,False,False,False
371.4,274.8,93.4,118.8,84.7,47.4,7.8,63.8,130.0,1.16,28.75,0.23,366.9,6,5,157,403.5,419.1,9.8,False,False,False,False,False,False,False
363.3,298.5,11.3,62.2,185.6,14.6,2.86,88.3,10.1,1.89,3.63,4.25,453.3,6,6,158,366.9,455.2,371.4,False,False,False,False,False,False,False
42.0,432.7,189.3,108.5,86.1,30.7,0.88,1.3,77.6,5.41,15.03,1.66,405.5,6,0,159,453.3,429.8,363.3,False,False,False,False,False,False,False
428.2,460.9,179.7,127.6,165.2,44.0,9.2,91.8,18.3,11.87,10.42,2.72,370.8,6,1,160,405.5,13.3,42.0,False,False,False,False,False,False,False
342.5,365.6,27.5,23.5,175.3,29.8,2.52,46.7,52.4,3.71,28.75,5.07,240.7,6,2,161,370.8,40.6,428.2,False,False,False,False,False,False,False
181.4,409.7,5.3,43.3,169.7,37.2,6.2,36.4,183.5,4.83,12.28,9.07,98.3,6,3,162,240.7,220.4,342.5,False,False,False,False,False,False,False
343.7,371.3,86.8,81.6,138.0,31.2,2.5,80.2,146.3,6.09,22.32,5.23,92.5,6,4,163,98.3,403.5,181.4,False,False,False,False,False,False,False
98.6,437.9,5.6,63.8,11.1,28.0,9.17,65.9,92.3,6.46,22.66,5.15,193.6,6,5,164,92.5,366.9,343.7,False,False,False,False,False,False,False
441.3,14.2,61.1,100.8,60.2,15.7,8.17,74.3,129.5,4.36,8.68,8.2,160.7,6,6,165,193.6,453.3,98.6,False,False,False,False,False,False,False
194.0,507.3,141.3,77.8,199.2,40.3,1.45,82.1,144.8,9.22,23.04,4.39,409.3,6,0,166,160.7,405.5,441.3,False,False,False,False,False,False,False
482.6,320.9,77.7,0.9,38.2,37.0,7.36,62.6,184.8,9.1,1.51,1.87,172.4,6,1,167,409.3,370.8,194.0,False,False,False,False,False,False,False
147.4,186.0,112.6,145.4,20.7,45.4,6.2,15.8,84.2,7.05,21.84,6.74,194.8,6,2,168,172.4,240.7,482.6,False,False,False,False,False,False,False
196.8,451.4,39.7,1.2,245.2,13.2,7.66,26.5,184.3,16.06,22.44,6.33,110.8,6,3,169,194.8,98.3,147.4,False,False,False,False,False,False,False
227.3,169.2,49.7,114.0,64.1,25.2,0.12,99.6,64.6,19.02,23.55,6.89,203.8,6,4,170,110.8,92.5,196.8,False,False,False,False,False,False,False
